entry_time,exit_time,side,entry,sl,tp,exit_price,outcome,raw_R,fee_R,net_R,risk_pct,risk_pct_abs,entry_idx,exit_idx,symbol,year
2024-10-18 13:50:00,2024-10-18 16:25:00,short,162.2,162.9182865382215,159.3268538471139,159.3268538471139,tp,4.0,0.20323365708822416,3.7967663429117757,0.004428400358948951,0.004428400358948951,83974,84005,XMRUSDT,2024
2024-10-20 22:30:00,2024-10-21 10:50:00,short,163.05,163.54193141414106,161.0822743434358,161.0822743434358,tp,4.0,0.2983037793108378,3.701696220689162,0.003017058657718795,0.003017058657718795,84654,84802,XMRUSDT,2024
2024-11-04 22:35:00,2024-11-05 01:10:00,long,157.33,156.48555308448866,160.70778766204543,160.70778766204543,tp,4.0,0.16768016721839274,3.8323198327816073,0.00536736105962852,0.00536736105962852,88975,89006,XMRUSDT,2024
2024-11-07 17:45:00,2024-11-07 19:00:00,short,167.06,167.70664819345964,164.47340722616144,167.70664819345964,sl,-1.0,0.23251282771794238,-1.2325128277179425,0.0038707541808909386,0.0038707541808909386,89781,89796,XMRUSDT,2024
2024-11-07 21:40:00,2024-11-07 22:30:00,long,164.72,164.1074903213532,167.1700387145872,164.1074903213532,sl,-1.0,0.2420337264343635,-1.2420337264343635,0.003718490035495399,0.003718490035495399,89828,89838,XMRUSDT,2024
2024-11-11 11:10:00,2024-11-11 11:50:00,short,160.94,161.58167996900121,158.37328012399513,161.58167996900121,sl,-1.0,0.22572934639903852,-1.2257293463990386,0.003987075736306803,0.003987075736306803,90854,90862,XMRUSDT,2024
2024-11-18 19:05:00,2024-11-18 20:20:00,short,158.71,159.42814966930467,155.83740132278135,159.42814966930467,sl,-1.0,0.19889865038620866,-1.1988986503862087,0.004524917581152198,0.004524917581152198,92965,92980,XMRUSDT,2024
2024-11-23 00:30:00,2024-11-23 00:45:00,short,162.51,163.0459791794705,160.36608328211798,163.0459791794705,sl,-1.0,0.27288186855409285,-1.2728818685540928,0.003298130450252303,0.003298130450252303,94182,94185,XMRUSDT,2024
2024-11-24 02:25:00,2024-11-24 03:20:00,short,165.64,166.3314509718215,162.8741961127139,166.3314509718215,sl,-1.0,0.21559880031303094,-1.215598800313031,0.004174420259729077,0.004174420259729077,94493,94504,XMRUSDT,2024
2024-11-24 04:10:00,2024-11-24 06:10:00,short,166.77,167.27875536863706,164.7349785254518,164.7349785254518,tp,4.0,0.2950199825941814,3.7049800174058185,0.0030506408145173232,0.0030506408145173232,94514,94538,XMRUSDT,2024
2024-11-24 10:15:00,2024-11-24 10:35:00,long,162.89,162.48127491445862,164.52490034216544,162.48127491445862,sl,-1.0,0.35867874320908055,-1.3586787432090806,0.0025092091935745775,0.0025092091935745775,94587,94591,XMRUSDT,2024
2024-11-24 11:15:00,2024-11-24 11:50:00,long,160.88,160.09548970537764,164.0180411784894,160.09548970537764,sl,-1.0,0.18456354364310834,-1.1845635436431083,0.004876369310183681,0.004876369310183681,94599,94606,XMRUSDT,2024
2024-11-26 11:40:00,2024-11-26 14:35:00,long,151.64,150.72203109337357,155.31187562650564,155.31187562650564,tp,4.0,0.14867170229278995,3.85132829770721,0.006053606611886133,0.006053606611886133,95180,95215,XMRUSDT,2024
2024-12-02 21:40:00,2024-12-02 22:45:00,short,174.37,176.08677821993479,167.50288712026088,176.08677821993479,sl,-1.0,0.09141134141715855,-1.0914113414171585,0.009845605436341005,0.009845605436341005,97028,97041,XMRUSDT,2024
2024-12-08 23:35:00,2024-12-09 02:35:00,short,224.99,228.8218973645311,209.6624105418756,209.6624105418756,tp,4.0,0.05284353434784082,3.947156465652159,0.01703141190511179,0.01703141190511179,98779,98815,XMRUSDT,2024
